Exercise Name,Muscle Group,Equipment Needed,Difficulty Level,Exercise Type,Est. Calories Burned per kg (per 30 mins),Description,Video Tutorial Link,Image File Path
Barbell Squat,Quadriceps & Glutes,Barbell,Intermediate,Strength,3.0,"Stand with feet shoulder-width apart, lower hips until thighs are parallel to the floor, then stand back up.","https://www.youtube.com/results?search_query=how+to+properly+do+a+barbell+squat",images/barbell_squat.jpg
Push-up,Chest & Triceps,None (Bodyweight),Beginner,Strength,4.0,"Start in a plank position, lower your body until your chest almost touches the floor, then push back up.","https://www.youtube.com/results?search_query=how+to+properly+do+a+push-up",images/push_up.jpg
Deadlift,Hamstrings & Back,Barbell,Advanced,Strength,3.0,"Hinge at the hips to grab the barbell, keep your back straight, and stand up by extending hips and knees.","https://www.youtube.com/results?search_query=how+to+properly+do+a+barbell+deadlift",images/deadlift.jpg
Pull-up,Lats & Biceps,Pull-up Bar,Intermediate,Strength,4.0,"Hang from a bar with an overhand grip, pull your body up until your chin clears the bar.","https://www.youtube.com/results?search_query=how+to+properly+do+a+pull-up",images/pull_up.jpg
Plank,Core,None (Bodyweight),Beginner,Isometric,1.75,"Hold a push-up position but rest on your forearms, keeping your body in a straight line.","https://www.youtube.com/results?search_query=how+to+properly+do+a+forearm+plank",images/plank.jpg
Running,Cardiovascular System,None / Treadmill,Beginner,Cardio,4.8,"Maintain a steady jogging or running pace to continuously elevate the heart rate.","https://www.youtube.com/results?search_query=proper+running+form+tutorial",images/running.jpg
Dumbbell Bicep Curl,Biceps,Dumbbells,Beginner,Strength,1.75,"Hold a dumbbell in each hand, curl the weights towards your shoulders while keeping elbows pinned to your sides.","https://www.youtube.com/results?search_query=how+to+properly+do+a+dumbbell+bicep+curl",images/dumbbell_bicep_curl.jpg
Burpee,Full Body,None (Bodyweight),Advanced,Cardio & Strength,4.25,"Drop into a squat, kick feet back into a plank, do a push-up, jump feet back to squat, and explosively jump up.","https://www.youtube.com/results?search_query=how+to+properly+do+a+burpee",images/burpee.jpg
Russian Twist,Obliques & Core,None / Medicine Ball,Intermediate,Strength,2.0,"Sit on the floor, lean back slightly, elevate your feet, and twist your torso from side to side.","https://www.youtube.com/results?search_query=how+to+properly+do+a+russian+twist",images/russian_twist.jpg
Lunges,Quadriceps & Glutes,None / Dumbbells,Beginner,Strength,2.5,"Step forward with one leg and lower your hips until both knees are bent at a 90-degree angle.","https://www.youtube.com/results?search_query=how+to+properly+do+lunges",images/lunges.jpg